Method,Train_Task,Round,Eval_Task,Accuracy
gdr,0,1,0,6.8
gdr,0,2,0,6.9
gdr,0,3,0,11.0
gdr,0,4,0,13.2
gdr,0,5,0,17.5
gdr,0,6,0,19.15
gdr,0,7,0,20.9
gdr,0,8,0,19.4
gdr,0,9,0,24.35
gdr,0,10,0,26.55
gdr,0,11,0,26.3
gdr,0,12,0,30.65
gdr,0,13,0,28.6
gdr,0,14,0,33.15
gdr,0,15,0,31.0
gdr,0,16,0,33.65
gdr,0,17,0,34.05
gdr,0,18,0,36.4
gdr,0,19,0,37.0
gdr,0,20,0,38.5
gdr,0,21,0,37.2
gdr,0,22,0,38.75
gdr,0,23,0,39.35
gdr,0,24,0,39.2
gdr,0,25,0,39.0
gdr,0,26,0,40.9
gdr,0,27,0,41.25
gdr,0,28,0,42.1
gdr,0,29,0,41.8
gdr,0,30,0,43.3
gdr,0,31,0,42.8
gdr,0,32,0,43.5
gdr,0,33,0,43.35
gdr,0,34,0,44.15
gdr,0,35,0,45.2
gdr,0,36,0,44.5
gdr,0,37,0,44.8
gdr,0,38,0,45.2
gdr,0,39,0,45.45
gdr,0,40,0,46.0
gdr,0,41,0,45.85
gdr,0,42,0,46.0
gdr,0,43,0,45.75
gdr,0,44,0,45.65
gdr,0,45,0,46.1
gdr,0,46,0,46.9
gdr,0,47,0,46.8
gdr,0,48,0,47.45
gdr,0,49,0,46.9
gdr,0,50,0,47.25
gdr,1,1,0,0.1
gdr,1,1,1,19.3
gdr,1,2,0,2.5
gdr,1,2,1,31.5
gdr,1,3,0,3.7
gdr,1,3,1,29.5
gdr,1,4,0,4.5
gdr,1,4,1,34.6
gdr,1,5,0,4.55
gdr,1,5,1,33.25
gdr,1,6,0,4.4
gdr,1,6,1,37.2
gdr,1,7,0,4.6
gdr,1,7,1,36.6
gdr,1,8,0,4.75
gdr,1,8,1,40.55
gdr,1,9,0,5.05
gdr,1,9,1,38.1
gdr,1,10,0,4.75
gdr,1,10,1,43.85
gdr,1,11,0,4.6
gdr,1,11,1,41.6
gdr,1,12,0,5.25
gdr,1,12,1,46.25
gdr,1,13,0,6.1
gdr,1,13,1,43.9
gdr,1,14,0,5.65
gdr,1,14,1,47.2
gdr,1,15,0,5.75
gdr,1,15,1,46.05
gdr,1,16,0,6.5
gdr,1,16,1,50.9
gdr,1,17,0,6.8
gdr,1,17,1,45.85
gdr,1,18,0,6.65
gdr,1,18,1,51.05
gdr,1,19,0,6.9
gdr,1,19,1,49.1
gdr,1,20,0,7.65
gdr,1,20,1,51.7
gdr,1,21,0,7.35
gdr,1,21,1,51.35
gdr,1,22,0,7.1
gdr,1,22,1,52.35
gdr,1,23,0,7.25
gdr,1,23,1,50.8
gdr,1,24,0,7.4
gdr,1,24,1,53.2
gdr,1,25,0,7.4
gdr,1,25,1,52.4
gdr,1,26,0,7.35
gdr,1,26,1,53.0
gdr,1,27,0,7.25
gdr,1,27,1,52.85
gdr,1,28,0,7.95
gdr,1,28,1,53.9
gdr,1,29,0,7.85
gdr,1,29,1,53.2
gdr,1,30,0,7.45
gdr,1,30,1,53.55
gdr,1,31,0,7.75
gdr,1,31,1,53.85
gdr,1,32,0,7.3
gdr,1,32,1,54.35
gdr,1,33,0,7.65
gdr,1,33,1,54.1
gdr,1,34,0,7.5
gdr,1,34,1,55.25
gdr,1,35,0,7.55
gdr,1,35,1,55.85
gdr,1,36,0,7.1
gdr,1,36,1,55.2
gdr,1,37,0,7.15
gdr,1,37,1,55.4
gdr,1,38,0,7.05
gdr,1,38,1,55.95
gdr,1,39,0,6.85
gdr,1,39,1,56.05
gdr,1,40,0,7.05
gdr,1,40,1,55.85
gdr,1,41,0,7.1
gdr,1,41,1,56.4
gdr,1,42,0,6.8
gdr,1,42,1,56.5
gdr,1,43,0,6.7
gdr,1,43,1,56.45
gdr,1,44,0,6.65
gdr,1,44,1,56.5
gdr,1,45,0,6.9
gdr,1,45,1,56.85
gdr,1,46,0,6.6
gdr,1,46,1,56.05
gdr,1,47,0,6.65
gdr,1,47,1,56.6
gdr,1,48,0,6.5
gdr,1,48,1,57.0
gdr,1,49,0,6.4
gdr,1,49,1,56.95
gdr,1,50,0,6.3
gdr,1,50,1,57.2
gdr,2,1,0,0.0
gdr,2,1,1,0.0
gdr,2,1,2,5.0
gdr,2,2,0,0.0
gdr,2,2,1,0.0
gdr,2,2,2,4.85
gdr,2,3,0,0.0
gdr,2,3,1,0.0
gdr,2,3,2,10.8
gdr,2,4,0,0.0
gdr,2,4,1,0.0
gdr,2,4,2,5.0
gdr,2,5,0,0.0
gdr,2,5,1,0.0
gdr,2,5,2,12.05
gdr,2,6,0,0.0
gdr,2,6,1,0.0
gdr,2,6,2,5.0
gdr,2,7,0,0.0
gdr,2,7,1,0.0
gdr,2,7,2,10.5
gdr,2,8,0,0.0
gdr,2,8,1,0.0
gdr,2,8,2,11.3
gdr,2,9,0,0.0
gdr,2,9,1,0.0
gdr,2,9,2,11.55
gdr,2,10,0,0.0
gdr,2,10,1,0.0
gdr,2,10,2,13.1
gdr,2,11,0,0.0
gdr,2,11,1,0.0
gdr,2,11,2,13.85
gdr,2,12,0,0.0
gdr,2,12,1,0.0
gdr,2,12,2,16.3
gdr,2,13,0,0.0
gdr,2,13,1,0.0
gdr,2,13,2,13.45
gdr,2,14,0,0.0
gdr,2,14,1,0.0
gdr,2,14,2,7.1
gdr,2,15,0,0.0
gdr,2,15,1,0.0
gdr,2,15,2,13.05
gdr,2,16,0,0.0
gdr,2,16,1,0.0
gdr,2,16,2,11.85
gdr,2,17,0,0.0
gdr,2,17,1,0.0
gdr,2,17,2,12.3
gdr,2,18,0,0.0
gdr,2,18,1,0.0
gdr,2,18,2,15.45
gdr,2,19,0,0.0
gdr,2,19,1,0.0
gdr,2,19,2,8.95
gdr,2,20,0,0.0
gdr,2,20,1,0.0
gdr,2,20,2,13.5
gdr,2,21,0,0.0
gdr,2,21,1,0.0
gdr,2,21,2,15.6
gdr,2,22,0,0.0
gdr,2,22,1,0.0
gdr,2,22,2,15.35
gdr,2,23,0,0.0
gdr,2,23,1,0.0
gdr,2,23,2,6.85
gdr,2,24,0,0.0
gdr,2,24,1,0.0
gdr,2,24,2,16.05
gdr,2,25,0,0.0
gdr,2,25,1,0.0
gdr,2,25,2,13.9
gdr,2,26,0,0.25
gdr,2,26,1,0.0
gdr,2,26,2,10.2
gdr,2,27,0,0.0
gdr,2,27,1,0.0
gdr,2,27,2,21.15
gdr,2,28,0,0.0
gdr,2,28,1,0.0
gdr,2,28,2,19.45
gdr,2,29,0,0.0
gdr,2,29,1,0.0
gdr,2,29,2,18.3
gdr,2,30,0,0.0
gdr,2,30,1,0.0
gdr,2,30,2,19.5
gdr,2,31,0,0.0
gdr,2,31,1,0.0
gdr,2,31,2,22.7
gdr,2,32,0,0.0
gdr,2,32,1,0.0
gdr,2,32,2,22.75
gdr,2,33,0,0.0
gdr,2,33,1,0.0
gdr,2,33,2,22.95
gdr,2,34,0,0.0
gdr,2,34,1,4.1
gdr,2,34,2,13.5
gdr,2,35,0,0.0
gdr,2,35,1,0.1
gdr,2,35,2,26.75
gdr,2,36,0,0.0
gdr,2,36,1,0.0
gdr,2,36,2,22.95
gdr,2,37,0,0.0
gdr,2,37,1,0.0
gdr,2,37,2,20.7
gdr,2,38,0,0.0
gdr,2,38,1,0.0
gdr,2,38,2,26.95
gdr,2,39,0,0.0
gdr,2,39,1,0.0
gdr,2,39,2,27.6
gdr,2,40,0,0.0
gdr,2,40,1,0.0
gdr,2,40,2,16.9
gdr,2,41,0,0.0
gdr,2,41,1,0.0
gdr,2,41,2,27.2
gdr,2,42,0,0.0
gdr,2,42,1,0.0
gdr,2,42,2,31.85
gdr,2,43,0,0.0
gdr,2,43,1,0.0
gdr,2,43,2,29.75
gdr,2,44,0,0.0
gdr,2,44,1,0.0
gdr,2,44,2,28.9
gdr,2,45,0,0.0
gdr,2,45,1,0.0
gdr,2,45,2,27.7
gdr,2,46,0,0.0
gdr,2,46,1,0.0
gdr,2,46,2,8.9
gdr,2,47,0,0.0
gdr,2,47,1,0.0
gdr,2,47,2,28.55
gdr,2,48,0,0.0
gdr,2,48,1,0.05
gdr,2,48,2,28.6
gdr,2,49,0,0.0
gdr,2,49,1,0.0
gdr,2,49,2,23.85
gdr,2,50,0,0.0
gdr,2,50,1,0.55
gdr,2,50,2,29.15
gdr,3,1,0,0.0
gdr,3,1,1,1.95
gdr,3,1,2,0.0
gdr,3,1,3,8.95
gdr,3,2,0,0.0
gdr,3,2,1,0.0
gdr,3,2,2,0.1
gdr,3,2,3,7.7
gdr,3,3,0,0.0
gdr,3,3,1,0.0
gdr,3,3,2,0.25
gdr,3,3,3,11.5
gdr,3,4,0,0.1
gdr,3,4,1,1.5
gdr,3,4,2,0.25
gdr,3,4,3,16.05
gdr,3,5,0,2.15
gdr,3,5,1,0.0
gdr,3,5,2,0.0
gdr,3,5,3,12.55
gdr,3,6,0,0.1
gdr,3,6,1,0.0
gdr,3,6,2,3.6
gdr,3,6,3,14.65
gdr,3,7,0,0.2
gdr,3,7,1,1.2
gdr,3,7,2,1.9
gdr,3,7,3,18.6
gdr,3,8,0,0.0
gdr,3,8,1,0.0
gdr,3,8,2,0.0
gdr,3,8,3,5.0
gdr,3,9,0,0.0
gdr,3,9,1,0.0
gdr,3,9,2,0.0
gdr,3,9,3,12.6
gdr,3,10,0,1.2
gdr,3,10,1,1.5
gdr,3,10,2,2.05
gdr,3,10,3,19.75
gdr,3,11,0,1.6
gdr,3,11,1,0.85
gdr,3,11,2,2.45
gdr,3,11,3,21.5
gdr,3,12,0,2.1
gdr,3,12,1,1.3
gdr,3,12,2,3.85
gdr,3,12,3,22.0
gdr,3,13,0,2.2
gdr,3,13,1,0.75
gdr,3,13,2,1.85
gdr,3,13,3,22.6
gdr,3,14,0,0.25
gdr,3,14,1,1.4
gdr,3,14,2,3.45
gdr,3,14,3,24.1
gdr,3,15,0,0.2
gdr,3,15,1,0.0
gdr,3,15,2,0.1
gdr,3,15,3,7.0
gdr,3,16,0,0.0
gdr,3,16,1,0.0
gdr,3,16,2,0.0
gdr,3,16,3,14.3
gdr,3,17,0,0.0
gdr,3,17,1,0.0
gdr,3,17,2,4.9
gdr,3,17,3,2.05
gdr,3,18,0,0.0
gdr,3,18,1,0.0
gdr,3,18,2,0.05
gdr,3,18,3,15.1
gdr,3,19,0,0.0
gdr,3,19,1,0.0
gdr,3,19,2,0.0
gdr,3,19,3,17.2
gdr,3,20,0,0.0
gdr,3,20,1,1.1
gdr,3,20,2,0.0
gdr,3,20,3,19.45
gdr,3,21,0,0.15
gdr,3,21,1,0.1
gdr,3,21,2,0.0
gdr,3,21,3,19.2
gdr,3,22,0,0.0
gdr,3,22,1,0.4
gdr,3,22,2,0.0
gdr,3,22,3,21.15
gdr,3,23,0,0.0
gdr,3,23,1,1.75
gdr,3,23,2,0.0
gdr,3,23,3,22.35
gdr,3,24,0,0.05
gdr,3,24,1,0.8
gdr,3,24,2,0.0
gdr,3,24,3,22.75
gdr,3,25,0,0.05
gdr,3,25,1,1.3
gdr,3,25,2,0.25
gdr,3,25,3,25.0
gdr,3,26,0,0.0
gdr,3,26,1,0.0
gdr,3,26,2,0.45
gdr,3,26,3,22.15
gdr,3,27,0,0.2
gdr,3,27,1,0.2
gdr,3,27,2,1.75
gdr,3,27,3,26.4
gdr,3,28,0,0.0
gdr,3,28,1,0.35
gdr,3,28,2,0.15
gdr,3,28,3,26.75
gdr,3,29,0,0.0
gdr,3,29,1,2.15
gdr,3,29,2,0.15
gdr,3,29,3,26.35
gdr,3,30,0,0.0
gdr,3,30,1,0.45
