Method,Train_Task,Round,Eval_Task,Accuracy
kmeans+tts_tabular_t3_a0.1,0,1,0,29.97827661115134
kmeans+tts_tabular_t3_a0.1,0,2,0,45.11223750905141
kmeans+tts_tabular_t3_a0.1,0,3,0,54.742939898624186
kmeans+tts_tabular_t3_a0.1,0,4,0,57.85662563359884
kmeans+tts_tabular_t3_a0.1,0,5,0,60.60825488776249
kmeans+tts_tabular_t3_a0.1,0,6,0,62.78059377262853
kmeans+tts_tabular_t3_a0.1,0,7,0,64.59087617668357
kmeans+tts_tabular_t3_a0.1,0,8,0,65.96669080376539
kmeans+tts_tabular_t3_a0.1,0,9,0,67.70456191165822
kmeans+tts_tabular_t3_a0.1,0,10,0,69.08037653874004
kmeans+tts_tabular_t3_a0.1,0,11,0,70.23895727733526
kmeans+tts_tabular_t3_a0.1,0,12,0,71.18030412744388
kmeans+tts_tabular_t3_a0.1,0,13,0,71.61477190441708
kmeans+tts_tabular_t3_a0.1,0,14,0,72.19406227371469
kmeans+tts_tabular_t3_a0.1,0,15,0,73.71469949312093
kmeans+tts_tabular_t3_a0.1,0,16,0,74.36640115858074
kmeans+tts_tabular_t3_a0.1,0,17,0,76.10427226647357
kmeans+tts_tabular_t3_a0.1,0,18,0,75.88703837798697
kmeans+tts_tabular_t3_a0.1,0,19,0,76.10427226647357
kmeans+tts_tabular_t3_a0.1,0,20,0,76.97320782041999
kmeans+tts_tabular_t3_a0.1,0,21,0,77.4076755973932
kmeans+tts_tabular_t3_a0.1,0,22,0,77.7697320782042
kmeans+tts_tabular_t3_a0.1,0,23,0,77.7697320782042
kmeans+tts_tabular_t3_a0.1,0,24,0,78.20419985517741
kmeans+tts_tabular_t3_a0.1,0,25,0,78.34902244750181
kmeans+tts_tabular_t3_a0.1,0,26,0,78.49384503982621
kmeans+tts_tabular_t3_a0.1,0,27,0,78.92831281679942
kmeans+tts_tabular_t3_a0.1,0,28,0,79.36278059377263
kmeans+tts_tabular_t3_a0.1,0,29,0,79.43519188993483
kmeans+tts_tabular_t3_a0.1,0,30,0,79.50760318609703
kmeans+tts_tabular_t3_a0.1,0,31,0,79.86965966690803
kmeans+tts_tabular_t3_a0.1,0,32,0,79.79724837074583
kmeans+tts_tabular_t3_a0.1,0,33,0,79.58001448225923
kmeans+tts_tabular_t3_a0.1,0,34,0,79.72483707458363
kmeans+tts_tabular_t3_a0.1,0,35,0,79.79724837074583
kmeans+tts_tabular_t3_a0.1,0,36,0,80.08689355539464
kmeans+tts_tabular_t3_a0.1,0,37,0,80.08689355539464
kmeans+tts_tabular_t3_a0.1,0,38,0,80.44895003620564
kmeans+tts_tabular_t3_a0.1,0,39,0,80.44895003620564
kmeans+tts_tabular_t3_a0.1,0,40,0,80.44895003620564
kmeans+tts_tabular_t3_a0.1,0,41,0,80.73859522085445
kmeans+tts_tabular_t3_a0.1,0,42,0,80.81100651701665
kmeans+tts_tabular_t3_a0.1,0,43,0,81.24547429398986
kmeans+tts_tabular_t3_a0.1,0,44,0,81.39029688631426
kmeans+tts_tabular_t3_a0.1,0,45,0,81.46270818247646
kmeans+tts_tabular_t3_a0.1,0,46,0,81.39029688631426
kmeans+tts_tabular_t3_a0.1,0,47,0,81.46270818247646
kmeans+tts_tabular_t3_a0.1,0,48,0,81.75235336712527
kmeans+tts_tabular_t3_a0.1,0,49,0,81.75235336712527
kmeans+tts_tabular_t3_a0.1,0,50,0,81.53511947863866
kmeans+tts_tabular_t3_a0.1,0,51,0,81.53511947863866
kmeans+tts_tabular_t3_a0.1,0,52,0,81.89717595944967
kmeans+tts_tabular_t3_a0.1,0,53,0,81.89717595944967
kmeans+tts_tabular_t3_a0.1,0,54,0,82.04199855177407
kmeans+tts_tabular_t3_a0.1,0,55,0,81.96958725561187
kmeans+tts_tabular_t3_a0.1,0,56,0,81.96958725561187
kmeans+tts_tabular_t3_a0.1,0,57,0,82.25923244026067
kmeans+tts_tabular_t3_a0.1,0,58,0,82.33164373642288
kmeans+tts_tabular_t3_a0.1,0,59,0,82.40405503258508
kmeans+tts_tabular_t3_a0.1,0,60,0,82.69370021723388
kmeans+tts_tabular_t3_a0.1,0,61,0,82.54887762490948
kmeans+tts_tabular_t3_a0.1,0,62,0,82.62128892107168
kmeans+tts_tabular_t3_a0.1,0,63,0,82.69370021723388
kmeans+tts_tabular_t3_a0.1,0,64,0,82.76611151339608
kmeans+tts_tabular_t3_a0.1,0,65,0,83.12816799420709
