Method,Train_Task,Round,Eval_Task,Accuracy
kmeans+tts_tabular_t3_a0.5,0,1,0,40.912382331643734
kmeans+tts_tabular_t3_a0.5,0,2,0,58.435916002896455
kmeans+tts_tabular_t3_a0.5,0,3,0,71.18030412744388
kmeans+tts_tabular_t3_a0.5,0,4,0,75.38015930485156
kmeans+tts_tabular_t3_a0.5,0,5,0,77.11803041274439
kmeans+tts_tabular_t3_a0.5,0,6,0,79.14554670528602
kmeans+tts_tabular_t3_a0.5,0,7,0,80.59377262853005
kmeans+tts_tabular_t3_a0.5,0,8,0,81.75235336712527
kmeans+tts_tabular_t3_a0.5,0,9,0,82.76611151339608
kmeans+tts_tabular_t3_a0.5,0,10,0,83.56263577118031
kmeans+tts_tabular_t3_a0.5,0,11,0,84.21433743664012
kmeans+tts_tabular_t3_a0.5,0,12,0,84.86603910209993
kmeans+tts_tabular_t3_a0.5,0,13,0,86.02461984069515
kmeans+tts_tabular_t3_a0.5,0,14,0,86.24185372918176
kmeans+tts_tabular_t3_a0.5,0,15,0,86.74873280231716
kmeans+tts_tabular_t3_a0.5,0,16,0,86.89355539464157
kmeans+tts_tabular_t3_a0.5,0,17,0,87.18320057929037
kmeans+tts_tabular_t3_a0.5,0,18,0,87.69007965242578
kmeans+tts_tabular_t3_a0.5,0,19,0,87.76249094858798
kmeans+tts_tabular_t3_a0.5,0,20,0,88.19695872556119
kmeans+tts_tabular_t3_a0.5,0,21,0,88.26937002172339
kmeans+tts_tabular_t3_a0.5,0,22,0,88.26937002172339
kmeans+tts_tabular_t3_a0.5,0,23,0,88.6314265025344
kmeans+tts_tabular_t3_a0.5,0,24,0,88.9210716871832
kmeans+tts_tabular_t3_a0.5,0,25,0,88.9934829833454
kmeans+tts_tabular_t3_a0.5,0,26,0,89.1383055756698
kmeans+tts_tabular_t3_a0.5,0,27,0,89.42795076031861
kmeans+tts_tabular_t3_a0.5,0,28,0,89.71759594496741
kmeans+tts_tabular_t3_a0.5,0,29,0,89.64518464880521
