Method,Train_Task,Round,Eval_Task,Accuracy
random+tts,0,1,0,25.0
random+tts,0,2,0,33.15
random+tts,0,3,0,28.65
random+tts,0,4,0,45.675
random+tts,0,5,0,38.75
random+tts,0,6,0,55.875
random+tts,0,7,0,48.1
random+tts,0,8,0,55.475
random+tts,0,9,0,53.2
random+tts,0,10,0,62.825
random+tts,0,11,0,56.55
random+tts,0,12,0,66.525
random+tts,0,13,0,61.05
random+tts,0,14,0,69.3
random+tts,0,15,0,62.975
random+tts,0,16,0,70.575
random+tts,0,17,0,63.85
random+tts,0,18,0,73.0
random+tts,0,19,0,68.85
random+tts,0,20,0,72.0
random+tts,0,21,0,74.875
random+tts,0,22,0,73.2
random+tts,0,23,0,74.9
random+tts,0,24,0,74.975
random+tts,0,25,0,75.325
random+tts,0,26,0,76.175
random+tts,0,27,0,76.5
random+tts,0,28,0,76.5
random+tts,0,29,0,76.5
random+tts,0,30,0,77.125
random+tts,0,31,0,77.95
random+tts,0,32,0,76.925
random+tts,0,33,0,78.15
random+tts,0,34,0,78.5
random+tts,0,35,0,78.5
random+tts,0,36,0,78.55
random+tts,0,37,0,78.65
random+tts,0,38,0,78.825
random+tts,0,39,0,78.95
random+tts,0,40,0,79.125
random+tts,0,41,0,79.35
random+tts,0,42,0,79.4
random+tts,0,43,0,79.5
random+tts,0,44,0,79.075
random+tts,0,45,0,79.05
random+tts,0,46,0,79.125
random+tts,0,47,0,79.3
random+tts,0,48,0,79.375
random+tts,0,49,0,79.325
random+tts,0,50,0,79.35
random+tts,1,1,0,0.0
random+tts,1,1,1,33.43333333333333
random+tts,1,2,0,0.025
random+tts,1,2,1,40.5
random+tts,1,3,0,0.0
random+tts,1,3,1,39.03333333333333
random+tts,1,4,0,1.35
random+tts,1,4,1,45.06666666666667
random+tts,1,5,0,0.225
random+tts,1,5,1,44.733333333333334
random+tts,1,6,0,21.675
random+tts,1,6,1,34.333333333333336
random+tts,1,7,0,4.725
random+tts,1,7,1,47.5
random+tts,1,8,0,8.125
random+tts,1,8,1,64.16666666666667
random+tts,1,9,0,9.9
random+tts,1,9,1,60.766666666666666
random+tts,1,10,0,16.125
random+tts,1,10,1,56.43333333333333
random+tts,1,11,0,14.35
random+tts,1,11,1,66.26666666666667
random+tts,1,12,0,23.95
random+tts,1,12,1,63.233333333333334
random+tts,1,13,0,17.975
random+tts,1,13,1,65.5
random+tts,1,14,0,29.775
random+tts,1,14,1,66.0
random+tts,1,15,0,19.9
random+tts,1,15,1,63.733333333333334
random+tts,1,16,0,29.325
random+tts,1,16,1,67.73333333333333
random+tts,1,17,0,23.475
random+tts,1,17,1,66.83333333333333
random+tts,1,18,0,28.8
random+tts,1,18,1,65.93333333333334
random+tts,1,19,0,29.55
random+tts,1,19,1,70.1
random+tts,1,20,0,31.45
random+tts,1,20,1,70.43333333333334
random+tts,1,21,0,29.9
random+tts,1,21,1,69.86666666666666
random+tts,1,22,0,26.45
random+tts,1,22,1,70.06666666666666
random+tts,1,23,0,32.95
random+tts,1,23,1,70.46666666666667
random+tts,1,24,0,31.9
random+tts,1,24,1,71.2
random+tts,1,25,0,32.95
random+tts,1,25,1,70.2
random+tts,1,26,0,31.375
random+tts,1,26,1,71.5
random+tts,1,27,0,35.75
random+tts,1,27,1,72.7
random+tts,1,28,0,35.55
random+tts,1,28,1,73.76666666666667
random+tts,1,29,0,38.95
random+tts,1,29,1,71.13333333333334
random+tts,1,30,0,38.0
random+tts,1,30,1,73.6
random+tts,1,31,0,39.675
random+tts,1,31,1,71.1
random+tts,1,32,0,36.775
random+tts,1,32,1,75.26666666666667
random+tts,1,33,0,37.1
random+tts,1,33,1,74.53333333333333
random+tts,1,34,0,34.975
random+tts,1,34,1,75.56666666666666
