Method,Train_Task,Round,Eval_Task,Accuracy
random+tts,0,1,0,6.45
random+tts,0,2,0,14.0
random+tts,0,3,0,19.05
random+tts,0,4,0,22.35
random+tts,0,5,0,25.95
random+tts,0,6,0,29.3
random+tts,0,7,0,31.65
random+tts,0,8,0,31.3
random+tts,0,9,0,36.25
random+tts,0,10,0,34.7
random+tts,0,11,0,36.6
random+tts,0,12,0,36.45
random+tts,0,13,0,37.65
random+tts,0,14,0,40.0
random+tts,0,15,0,41.05
random+tts,0,16,0,41.35
random+tts,0,17,0,42.45
random+tts,0,18,0,43.75
random+tts,0,19,0,43.3
random+tts,0,20,0,44.65
random+tts,0,21,0,44.9
random+tts,0,22,0,44.95
random+tts,0,23,0,44.9
random+tts,0,24,0,46.1
random+tts,0,25,0,46.1
random+tts,0,26,0,45.55
random+tts,0,27,0,45.55
random+tts,0,28,0,46.75
random+tts,0,29,0,47.65
random+tts,0,30,0,46.6
random+tts,0,31,0,46.7
random+tts,0,32,0,49.15
random+tts,0,33,0,49.4
random+tts,0,34,0,49.65
random+tts,0,35,0,50.15
random+tts,0,36,0,50.65
random+tts,0,37,0,50.3
random+tts,0,38,0,50.2
random+tts,0,39,0,50.2
random+tts,0,40,0,51.1
random+tts,0,41,0,51.4
random+tts,0,42,0,51.0
random+tts,0,43,0,51.35
random+tts,0,44,0,51.25
random+tts,0,45,0,51.95
random+tts,0,46,0,52.2
random+tts,0,47,0,51.5
random+tts,0,48,0,51.95
random+tts,0,49,0,52.3
random+tts,0,50,0,51.7
random+tts,1,1,0,0.0
random+tts,1,1,1,8.6
random+tts,1,2,0,4.95
random+tts,1,2,1,2.6
random+tts,1,3,0,0.0
random+tts,1,3,1,5.95
random+tts,1,4,0,0.1
random+tts,1,4,1,13.6
random+tts,1,5,0,2.4
random+tts,1,5,1,14.2
random+tts,1,6,0,2.15
random+tts,1,6,1,18.95
random+tts,1,7,0,3.1
random+tts,1,7,1,21.6
random+tts,1,8,0,6.9
random+tts,1,8,1,18.3
random+tts,1,9,0,1.45
random+tts,1,9,1,20.45
random+tts,1,10,0,5.35
random+tts,1,10,1,22.3
random+tts,1,11,0,4.15
random+tts,1,11,1,18.05
random+tts,1,12,0,6.9
random+tts,1,12,1,22.9
random+tts,1,13,0,5.6
random+tts,1,13,1,23.55
random+tts,1,14,0,6.75
random+tts,1,14,1,25.05
random+tts,1,15,0,9.6
random+tts,1,15,1,24.5
random+tts,1,16,0,11.0
random+tts,1,16,1,24.8
random+tts,1,17,0,8.15
random+tts,1,17,1,27.25
random+tts,1,18,0,12.6
random+tts,1,18,1,26.9
random+tts,1,19,0,8.9
random+tts,1,19,1,26.3
random+tts,1,20,0,14.05
random+tts,1,20,1,27.5
random+tts,1,21,0,11.0
random+tts,1,21,1,27.95
random+tts,1,22,0,16.35
random+tts,1,22,1,30.05
random+tts,1,23,0,11.55
random+tts,1,23,1,27.7
random+tts,1,24,0,16.3
random+tts,1,24,1,32.0
random+tts,1,25,0,12.65
random+tts,1,25,1,30.7
random+tts,1,26,0,16.95
random+tts,1,26,1,28.1
random+tts,1,27,0,15.1
random+tts,1,27,1,32.8
random+tts,1,28,0,15.3
random+tts,1,28,1,31.2
random+tts,1,29,0,16.35
random+tts,1,29,1,30.15
random+tts,1,30,0,14.35
random+tts,1,30,1,27.3
random+tts,1,31,0,15.75
random+tts,1,31,1,32.45
random+tts,1,32,0,15.6
random+tts,1,32,1,36.0
random+tts,1,33,0,15.05
random+tts,1,33,1,35.55
random+tts,1,34,0,14.3
random+tts,1,34,1,32.85
random+tts,1,35,0,15.75
random+tts,1,35,1,34.5
random+tts,1,36,0,18.75
random+tts,1,36,1,35.25
random+tts,1,37,0,16.45
random+tts,1,37,1,37.15
random+tts,1,38,0,14.95
random+tts,1,38,1,38.3
random+tts,1,39,0,14.65
random+tts,1,39,1,39.2
