Method,Train_Task,Round,Eval_Task,Accuracy
gdr+tts,0,1,0,6.4
gdr+tts,0,2,0,8.05
gdr+tts,0,3,0,13.3
gdr+tts,0,4,0,18.55
gdr+tts,0,5,0,22.1
gdr+tts,0,6,0,24.5
gdr+tts,0,7,0,25.4
gdr+tts,0,8,0,28.8
gdr+tts,0,9,0,30.25
gdr+tts,0,10,0,31.75
gdr+tts,0,11,0,31.3
gdr+tts,0,12,0,34.3
gdr+tts,0,13,0,34.1
gdr+tts,0,14,0,34.55
gdr+tts,0,15,0,34.7
gdr+tts,0,16,0,37.15
gdr+tts,0,17,0,37.05
gdr+tts,0,18,0,37.85
gdr+tts,0,19,0,37.45
gdr+tts,0,20,0,39.5
gdr+tts,0,21,0,38.15
gdr+tts,0,22,0,39.85
gdr+tts,0,23,0,39.6
gdr+tts,0,24,0,40.55
gdr+tts,0,25,0,40.75
gdr+tts,0,26,0,41.8
gdr+tts,0,27,0,40.75
gdr+tts,0,28,0,42.6
gdr+tts,0,29,0,41.05
gdr+tts,0,30,0,42.35
gdr+tts,0,31,0,42.9
gdr+tts,0,32,0,42.45
gdr+tts,0,33,0,43.65
gdr+tts,0,34,0,42.75
gdr+tts,0,35,0,42.95
gdr+tts,0,36,0,43.45
gdr+tts,0,37,0,43.8
gdr+tts,0,38,0,44.3
gdr+tts,0,39,0,44.05
gdr+tts,0,40,0,43.6
gdr+tts,0,41,0,44.05
gdr+tts,0,42,0,43.45
gdr+tts,0,43,0,43.75
gdr+tts,0,44,0,43.9
gdr+tts,0,45,0,44.3
gdr+tts,0,46,0,44.1
gdr+tts,0,47,0,44.35
gdr+tts,0,48,0,44.2
gdr+tts,0,49,0,44.2
gdr+tts,0,50,0,44.55
gdr+tts,1,1,0,0.0
gdr+tts,1,1,1,10.45
gdr+tts,1,2,0,4.3
gdr+tts,1,2,1,11.2
gdr+tts,1,3,0,0.85
gdr+tts,1,3,1,14.6
gdr+tts,1,4,0,6.6
gdr+tts,1,4,1,11.0
gdr+tts,1,5,0,6.3
gdr+tts,1,5,1,15.5
gdr+tts,1,6,0,10.1
gdr+tts,1,6,1,16.6
gdr+tts,1,7,0,8.55
gdr+tts,1,7,1,18.0
gdr+tts,1,8,0,10.7
gdr+tts,1,8,1,17.9
gdr+tts,1,9,0,10.3
gdr+tts,1,9,1,21.8
gdr+tts,1,10,0,16.25
gdr+tts,1,10,1,20.15
gdr+tts,1,11,0,10.05
gdr+tts,1,11,1,24.35
gdr+tts,1,12,0,16.35
gdr+tts,1,12,1,24.2
gdr+tts,1,13,0,15.65
gdr+tts,1,13,1,22.25
gdr+tts,1,14,0,18.15
gdr+tts,1,14,1,24.4
gdr+tts,1,15,0,16.2
gdr+tts,1,15,1,24.1
gdr+tts,1,16,0,15.4
gdr+tts,1,16,1,27.85
gdr+tts,1,17,0,16.95
gdr+tts,1,17,1,26.15
gdr+tts,1,18,0,19.7
gdr+tts,1,18,1,25.1
gdr+tts,1,19,0,19.5
gdr+tts,1,19,1,25.8
gdr+tts,1,20,0,17.95
